State,Score
Massachusetts,25.5
Connecticut,25.5
New Hampshire,25
Rhode Island,24.7
New York,24.5
Michigan,24.4
Illinois,24.3
Maine,24.3
New Jersey,24.2
Vermont,24.1
Virginia,24
Delaware,24
Colorado,23.8
Pennsylvania,23.6
District of Columbia,23.5
California,22.6
Idaho,22.5
Indiana,22.5
Maryland,22.3
Washington,22.1
South Dakota,21.6
Iowa,21.6
Georgia,21.4
Minnesota,21.4
Kansas,21.2
Oregon,21.1
Missouri,20.8
West Virginia,20.8
National,20.7
Texas,20.5
Wisconsin,20.3
Utah,20.3
Florida,20.1
Alaska,20.1
Nebraska,20
Ohio,20
North Dakota,19.9
Kentucky,19.8
Montana,19.8
Wyoming,19.8
Tennessee,19.4
New Mexico,19.3
Arkansas,19.3
Hawaii,19
North Carolina,19
Arizona,19
Oklahoma,18.9
Alabama,18.9
South Carolina,18.8
Louisiana,18.8
Mississippi,18.4
Nevada,17.9
