Name,URL
dowling20,16764
dowling19,13816
strake20,18196
strake19,13858
applevalley20,16856
applevalley19,13417
bronx20,15710
bronx19,11596
glenbrooks19,12924
glenbrooks20,14991
greenhill19,13327
greenhill20,16788
valley19,13453
valley20,16799
grapevine20,16616
grapevine19,13121
loyola19,13128
loyola20,16678
meadows20,16954
meadows19,13073
presentation19,13090
presentation20,16924
yale19,13112
yale20,16790
alta20,15129
alta19,12861
holycross19,12515
holycross20,15551
isidore20,17033
isidore19,13523
jackhowe19,13153
jackhowe20,16814
princeton19,13628
princeton20,16551
scarsdale20,17824
scarsdale19,14095
UT19,14180
UT20,16900
cypress19,14049
cypress20,16462
duke20,16404
duke19,12984
heritage19,11616
heritage20,16912
ridge20,17113
ridge19,13017
seattle20,16426
seattle19,13689
uk19,13037
uk20,16315
blake19,14015
blake20,17785
collegeprep19,13063
collegeprep20,16884
usc20,17662
usc19,12350
bluekey19,12944
bluekey20,16182
