State,Entries19,Entries20,Distance19,Distance20
AK,1,4,3794.66588684453,4377.352947270115
AL,28,18,843.4358902131935,1047.8775747879213
AR,19,16,713.0352579788396,850.4899791650996
AZ,13,42,1184.7606172104136,2300.939499810653
CA,586,883,533.6823976235497,1134.965874078278
CO,10,12,861.4520827641987,1609.3892172152616
CT,3,2,204.45602935828614,204.45602935828612
DC,5,16,391.4223285519889,919.3526356807411
DE,0,0,0,0
FL,244,232,964.0162362882822,1257.5372702548402
GA,27,33,977.6779293559711,1392.5781947523067
HI,0,0,0,0
IA,73,84,615.6505451427819,1019.368497196353
ID,11,14,609.370961010137,1191.6141440189108
IL,55,16,731.7701388479817,945.3619234549669
IN,4,1,320.641179270537,1054.5507512471568
KS,0,0,0,0
KY,9,2,145.09943175566664,0.0
LA,32,24,384.50631218909774,843.6861297296847
MA,69,111,671.2707434492746,1565.7097435669937
MD,31,27,633.3209276233388,1146.8170321042749
ME,0,22,0,3457.8945502025035
MI,0,8,0,1361.5308285381825
MN,80,101,173.079424944642,621.4403775454265
MO,3,3,448.3624287699663,719.6220490673442
MS,4,5,779.4151745256167,548.1909412643837
MT,0,0,0,0
NC,79,86,553.8679149575088,727.4712201651274
ND,1,2,486.23802564677806,486.23802564677806
NE,38,26,613.5624434209376,643.9419575715933
NH,2,11,318.4600583818212,2988.0368941969264
NJ,131,131,400.16501968725015,1032.1719710615807
NM,9,21,1483.0708035044254,1398.4550325011646
NV,8,14,707.6796017006609,1404.8198909271773
NY,215,207,635.3916638994093,1166.1538729489573
OH,25,28,648.2205561513574,642.6506506562428
OK,13,16,464.6001924151335,653.5821674521171
OR,13,27,1511.4538808859738,1831.6221019427544
PA,53,76,660.0275543500047,1035.3740975407463
PR,0,0,0,0
RI,3,0,1899.20240903386,0
SC,0,5,0,797.0851807294109
SD,10,12,564.3798201170046,821.4222964776465
TN,0,0,0,0
TX,553,563,378.0875348722317,1009.1587001543728
UT,34,41,336.80461096425654,1287.143345952858
VA,34,18,677.3253842293066,1102.8978092427924
VT,0,0,0,0
WA,58,66,716.3347640334134,1110.9585110295336
WI,7,19,414.50225409772486,1039.3680380838082
WV,0,7,0,2032.162679189602
WY,1,2,524.8479152913102,847.0972845301917
